Nomos;Dimos;Onoma
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Αμμούδι
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Κιτροπλατεία
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Άμμος/Μαρίνα
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Αλμυρός
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Άμμος/Δημοτική
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Πήλος
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Αμμουδάρα
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Βούλισμα
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Άγ. Παντελεήμονας
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Καραβοστάσι
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Χαβάνια 1
ΛΑΣΙΘΙ;Δήμος Σητείας;Σητεία 1 / Γαλλικό
ΛΑΣΙΘΙ;Δήμος Σητείας;Σητεία 2 / Πέτρα
ΛΑΣΙΘΙ;Δήμος Σητείας;Βάι/Φοινικόδασος
ΛΑΣΙΘΙ;Δήμος Σητείας;Κουρεμένος
ΛΑΣΙΘΙ;Δήμος Σητείας;Χιόνα
ΛΑΣΙΘΙ;Δήμος Σητείας;Κάτω Ζάκρος
ΛΑΣΙΘΙ;Δήμος Σητείας;Βουρλιά
ΛΑΣΙΘΙ;Δήμος Σητείας;Λιμανάκι
ΛΑΣΙΘΙ;Δήμος Σητείας;Ανάληψη
ΛΑΣΙΘΙ;Δήμος Ιεράπετρας;Μακρύγιαλος/Λαγκούφα
ΛΑΣΙΘΙ;Δήμος Ιεράπετρας;Ιεράπετρα 1 /Δημοτική
ΛΑΣΙΘΙ;Δήμος Ιεράπετρας;Ιεράπετρα 2 /Δημοτική
ΛΑΣΙΘΙ;Δήμος Ιεράπετρας;Αγία Φωτιά
ΛΑΣΙΘΙ;Δήμος Ιεράπετρας;Μύρτος
ΛΑΣΙΘΙ;Δήμος Ιεράπετρας;Κουτσουνάρι / Άγ. Ιωάννης
ΛΑΣΙΘΙ;Δήμος Ιεράπετρας;Κουτσουνάρι 2
ΛΑΣΙΘΙ;Δήμος Ιεράπετρας;Καθαράδες 1
ΡΟΔΟΣ;Δήμος Ρόδου;Κιοτάρι 3
ΡΟΔΟΣ;Δήμος Ρόδου;Λάρδος 1
ΡΟΔΟΣ;Δήμος Ρόδου;Λάρδος 3
ΡΟΔΟΣ;Δήμος Ρόδου;Αφάντου 2
ΡΟΔΟΣ;Δήμος Ρόδου;Κολύμπια
ΡΟΔΟΣ;Δήμος Ρόδου;Κολύμπια Α – Λιμανάκι
ΡΟΔΟΣ;Δήμος Ρόδου;Αμμούδες / Φαληράκι
ΡΟΔΟΣ;Δήμος Ρόδου;Καβουράκια
ΡΟΔΟΣ;Δήμος Ρόδου;Καλλιθέα
ΡΟΔΟΣ;Δήμος Ρόδου;Μαντώματα
ΡΟΔΟΣ;Δήμος Ρόδου;Φαληράκι / Καστράκι
ΡΟΔΟΣ;Δήμος Ρόδου;Φαληράκι / Τραουνού
ΡΟΔΟΣ;Δήμος Ρόδου;Φαληράκι A
ΡΟΔΟΣ;Δήμος Ρόδου;Φαληράκι 1
ΡΟΔΟΣ;Δήμος Ρόδου;Φαληράκι 2
ΡΟΔΟΣ;Δήμος Ρόδου;Φαληράκι 3
ΡΟΔΟΣ;Δήμος Ρόδου;Φαληράκι 4
ΡΟΔΟΣ;Δήμος Ρόδου;Φαληράκι 5
ΡΟΔΟΣ;Δήμος Ρόδου;Ρένη 1
ΡΟΔΟΣ;Δήμος Ρόδου;Τριάντα Β
ΡΟΔΟΣ;Δήμος Ρόδου;Βαγιές / Λαδικό
ΡΟΔΟΣ;Δήμος Ρόδου;Φαληράκι / Καθαρά
ΡΟΔΟΣ;Δήμος Ρόδου;Ανατολικά Ενυδρείου
ΡΟΔΟΣ;Δήμος Ρόδου;Γαλούνι / Κοκκινόγια
ΚΩΣ;Δήμος Κω;Γουρνιάτης
ΚΩΣ;Δήμος Κω;Τρούλος
ΚΩΣ;Δήμος Κω;Άκρο Χελώνας
ΚΩΣ;Δήμος Κω;Πευκοκεφαλή/Άγιος Φωκάς
ΚΩΣ;Δήμος Κω;Λάμπη
ΘΗΡΑ;Δήμος Θήρας;Περίσσα
ΘΗΡΑ;Δήμος Θήρας;Καμάρι 1
ΘΗΡΑ;Δήμος Θήρας;Καμάρι 2
ΙΟΣ;Δήμος Ιητών;Όρμος
ΙΟΣ;Δήμος Ιητών;Μυλοπόταμος
ΙΟΣ;Δήμος Ιητών;Μαγγανάρι
ΜΗΛΟΣ;Δήμος Μήλου;Προβατάς
ΣΙΦΝΟΣ;Δήμος Σίφνου;Καμάρες
ΣΙΦΝΟΣ;Δήμος Σίφνου;Πλατύς Γιαλός
ΠΑΡΟΣ;Δήμος Πάρου;Λογαράς
ΠΑΡΟΣ;Δήμος Πάρου;Τσερδάκια
ΠΑΡΟΣ;Δήμος Πάρου;Πούντα
ΠΑΡΟΣ;Δήμος Πάρου;Μάρπησσα / Χρυσή Ακτή
ΠΑΡΟΣ;Δήμος Πάρου;Λιβάδια
ΝΑΞΟΣ;Δήμος Νάξου;Αγία Άννα
ΝΑΞΟΣ;Δήμος Νάξου;Άγιος Προκόπιος
ΝΑΞΟΣ;Δήμος Νάξου;Άγιος Γεώργιος
ΜΥΚΟΝΟΣ;Δήμος Μυκόνου;Καλαφάτης
ΑΝΔΡΟΣ;Δήμος Άνδρου;Δελαβόγια
ΚΕΑ;Δήμος Κέας;Κούνδουρος
ΣΑΜΟΣ;Δήμος Σάμου;Ποτοκάκι 1
ΣΑΜΟΣ;Δήμος Σάμου;Γλυκόριζα
ΛΕΣΒΟΣ;Δήμος Λέσβου;Τσαμάκια
ΛΕΣΒΟΣ;Δήμος Λέσβου;Εφταλού/ Άγ. Ανάργυροι
ΛΕΣΒΟΣ;Δήμος Λέσβου;Κάγια
ΛΕΣΒΟΣ;Δήμος Λέσβου;Σκάλα Ερεσσού
ΛΕΣΒΟΣ;Δήμος Λέσβου;Νυφίδα
ΛΕΣΒΟΣ;Δήμος Λέσβου;Άναξος
ΛΕΣΒΟΣ;Δήμος Λέσβου;Πέτρα
ΛΕΣΒΟΣ;Δήμος Λέσβου;Αγ. Ισίδωρος
ΛΕΣΒΟΣ;Δήμος Λέσβου;Μόλυβος
ΛΗΜΝΟΣ;Δήμος Λήμνου;Εβγάτης / Ζεματάς
ΛΗΜΝΟΣ;Δήμος Λήμνου;Άγ. Ιωάννης
ΛΗΜΝΟΣ;Δήμος Λήμνου;Θάνος
ΛΗΜΝΟΣ;Δήμος Λήμνου;Πλατύ
ΛΗΜΝΟΣ;Δήμος Λήμνου;ΜΑΡΙΝΕΣ
ΧΑΛΚΙΔΙΚΗ;Δήμος Σιθωνίας;Μαρίνα Πόρτο Καρράς
ΧΑΛΚΙΔΙΚΗ;Δήμος Κασσάνδρας;Μαρίνα Σάνη
ΑΤΤΙΚΗ;Δήμος Λαυρεωτικής;Οlympic Μarine
ΑΤΤΙΚΗ;Δήμος Παλαιού Φαλήρου;Μαρίνα Φλοίσβου
ΚΟΡΙΝΘΙΑ;Δήμος Ξυλοκάστρου – Ευρωστίνης;Μαρίνα Ξυλοκάστρου
ΛΕΥΚΑΔΑ;Δήμος Λευκάδας;Μαρίνα Λευκάδας
ΚΕΡΚΥΡΑ;Δήμος Κέρκυρας;Μαρίνα Γουβιών
ΛΑΣΙΘΙ;Δήμος Αγ. Νικολάου;Μαρίνα Αγ. Νικολάου
ΚΩΣ;Δήμος Κω;Μαρίνα Κω
ΛΕΡΟΣ;Δήμος Λέρου;Μαρίνα Λέρου
